Highest Overhead:
[HIGHEST OVERHEAD]: SHIPPING EXPENSE: 39.96%
Cash Deficit:
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD78400
[CASH DEFICIT] DAY: 3, AMOUNT: USD83160
[CASH DEFICIT] DAY: 4, AMOUNT: USD2126720
[CASH DEFICIT] DAY: 5, AMOUNT: USD779520
[CASH DEFICIT] DAY: 7, AMOUNT: USD51405
[CASH DEFICIT] DAY: 8, AMOUNT: USD558452
[CASH DEFICIT] DAY: 9, AMOUNT: USD131087
[CASH DEFICIT] DAY: 13, AMOUNT: USD1417632
[CASH DEFICIT] DAY: 15, AMOUNT: USD131896
[CASH DEFICIT] DAY: 17, AMOUNT: USD294048
[CASH DEFICIT] DAY: 20, AMOUNT: USD346581
[CASH DEFICIT] DAY: 25, AMOUNT: USD514655
[CASH DEFICIT] DAY: 28, AMOUNT: USD107039
[CASH DEFICIT] DAY: 30, AMOUNT: USD554036
[CASH DEFICIT] DAY: 36, AMOUNT: USD584238
[CASH DEFICIT] DAY: 38, AMOUNT: USD86503
[CASH DEFICIT] DAY: 42, AMOUNT: USD648380
[CASH DEFICIT] DAY: 44, AMOUNT: USD1253497
[CASH DEFICIT] DAY: 46, AMOUNT: USD150746
[CASH DEFICIT] DAY: 50, AMOUNT: USD577801
[CASH DEFICIT] DAY: 52, AMOUNT: USD557080
[CASH DEFICIT] DAY: 54, AMOUNT: USD306930
[CASH DEFICIT] DAY: 59, AMOUNT: USD263895
[CASH DEFICIT] DAY: 62, AMOUNT: USD60558
[CASH DEFICIT] DAY: 65, AMOUNT: USD124685
[CASH DEFICIT] DAY: 69, AMOUNT: USD2529194
[CASH DEFICIT] DAY: 71, AMOUNT: USD418644
[CASH DEFICIT] DAY: 76, AMOUNT: USD185049
[CASH DEFICIT] DAY: 82, AMOUNT: USD143642
[CASH DEFICIT] DAY: 83, AMOUNT: USD958909
Profit Deficit:
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD78400
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD83160
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD86720
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD30720
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD47458
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD34457
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD37160
[PROFIT DEFICIT] DAY: 10, AMOUNT: USD769447
[PROFIT DEFICIT] DAY: 11, AMOUNT: USD92948
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD59492
[PROFIT DEFICIT] DAY: 17, AMOUNT: USD21976
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD30906
[PROFIT DEFICIT] DAY: 22, AMOUNT: USD1245515
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD19349
[PROFIT DEFICIT] DAY: 28, AMOUNT: USD30277
[PROFIT DEFICIT] DAY: 36, AMOUNT: USD39284
[PROFIT DEFICIT] DAY: 38, AMOUNT: USD215372
[PROFIT DEFICIT] DAY: 43, AMOUNT: USD90398
[PROFIT DEFICIT] DAY: 44, AMOUNT: USD37696
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD19191
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD899665
[PROFIT DEFICIT] DAY: 47, AMOUNT: USD17536
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD49777
[PROFIT DEFICIT] DAY: 49, AMOUNT: USD427355
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD10640
[PROFIT DEFICIT] DAY: 59, AMOUNT: USD312134
[PROFIT DEFICIT] DAY: 60, AMOUNT: USD42405
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD2784
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD17100
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD9160
[PROFIT DEFICIT] DAY: 65, AMOUNT: USD176477
[PROFIT DEFICIT] DAY: 70, AMOUNT: USD32152
[PROFIT DEFICIT] DAY: 71, AMOUNT: USD824866
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD12338
[PROFIT DEFICIT] DAY: 73, AMOUNT: USD310345
[PROFIT DEFICIT] DAY: 82, AMOUNT: USD235396
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD8596
